交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2015-10-22 16:08:40,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1002830271201510221290816965,`151022376066161419348,`ocBwEs5ImqBEQU539PpYcuuIQXzI,`NATIVE,`SUCCESS,`CCB_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-22 00:02:36,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1004360271201510221284123754,`151021831466771117174,`ocBwEs7EgnPG_jf2u6YKNgLiMvZA,`NATIVE,`SUCCESS,`CFT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-22 09:17:34,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1004550271201510221285597750,`15102283481815412137,`ocBwEs75WKm40nJWPK7NLpG4l75w,`NATIVE,`SUCCESS,`CFT,`CNY,`698.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`4.19000,`0.60%
`2015-10-22 09:50:42,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1007370271201510221285878103,`15102216101036317133,`ocBwEs3Xfnk-P0cGv6gSRezp_i3Q,`NATIVE,`SUCCESS,`CCB_CREDIT,`CNY,`698.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`4.19000,`0.60%
`2015-10-22 14:51:48,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1007420271201510221289990671,`151022240466503319220,`ocBwEs__TnbGzazfYck6vAG7MAk8,`NATIVE,`SUCCESS,`CIB_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-22 07:52:06,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1009290271201510221285044938,`151022273266771124007,`ocBwEs5DbpL22xBkRCL1FTMbqjXI,`JSAPI,`SUCCESS,`ICBC_DEBIT,`CNY,`2211.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`13.27000,`0.60%
`2015-10-14 11:48:54,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1000130271201510141191126206,`151014299766771114012,`ocBwEs5qdanA888SZ3UBQPaDCo_0,`NATIVE,`SUCCESS,`CFT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-14 14:09:36,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1003180271201510141192947320,`151014915266497916492,`ocBwEs5n4l2zVUeEIhTb16y2zHwU,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-14 11:14:18,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1004870271201510141190549916,`151014305766497912075,`ocBwEs9mrpoLsWXGbBFK1bibBeUI,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-14 11:15:11,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1004870271201510141190590623,`151014305766794013217,`ocBwEs9mrpoLsWXGbBFK1bibBeUI,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-14 05:18:22,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1005110271201510141188539204,`151014151966771117759,`ocBwEs1zstg4bvLBhS8FobimHJko,`NATIVE,`SUCCESS,`CMB_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-14 15:04:58,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1005640271201510141193493196,`151014410266497918592,`ocBwEs3W71ibKzg9C2WcBeom2AlQ,`NATIVE,`SUCCESS,`CEB_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-14 14:57:04,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1006790271201510141193431438,`151014668166771119511,`ocBwEs7bctGWxwKPyWndwx1Xt1zM,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-14 08:59:30,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1007240271201510141189213514,`15101415841036326392,`ocBwEs9H0M8P6UYJtOLtBLw1e5Hc,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1198.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.19000,`0.60%
`2015-10-14 01:24:46,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1008000271201510141188204827,`15101405051036311796,`ocBwEsz4DUHKn_qIhfmFdaURzVis,`NATIVE,`SUCCESS,`CITIC_CREDIT,`CNY,`698.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`4.19000,`0.60%
`2015-10-14 07:58:25,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1008840271201510131186717242,`151013450666161419474,`ocBwEs3NGqhEGwMwLUkyqmzK7mv4,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-14 07:56:50,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1008840271201510131186938360,`151013450666032012414,`ocBwEs3NGqhEGwMwLUkyqmzK7mv4,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
